School,City,State,Earnings,Cost,Grad,Loans,Urban,Size
Adelphi University,Garden City,NY,69518,30140,72,50,0,Medium
American University,Washington,DC,76448,40088,79,43,1,Medium
Auburn University,Auburn,AL,60042,24018,77,29,1,Large
Augustana College,Rock Island,IL,63549,23489,75,62,1,Medium
Aurora University,Aurora,IL,60344,16994,64,64,0,Medium
Bay Path University,Longmeadow,MA,44200,20435,55,87,0,Small
Baylor University,Waco,TX,71443,37309,76,44,1,Medium
Bentley University ,Waltham,MA,72105,41334,89,45,1,Medium
Binghamton University,Vestal,NY,73313,20703,82,49,0,Medium
Boston College,Chestnut Hill,MA,82416,36599,91,38,1,Medium
Bradley University,Peoria,IL,67597,25196,76,69,1,Medium
Bryant University,Smithfield,RI,69756,40533,80,54,0,Medium
Bucknell University,Lewisburg,PA,82360,43895,90,30,0,Medium
California Lutheran University ,Thousand Oaks,CA,62953,27410,73,57,1,Medium
Carroll University,Waukesha,WI,61206,22987,59,68,1,Medium
Champlain College ,Burlington,VT,50125,33224,64,65,1,Medium
Chapman University ,Orange,CA,74073,44198,80,58,1,Medium
Clarkson University,Potsdam,NY,75843,29522,76,71,0,Medium
Clemson University,Clemson,SC,59622,21262,82,39,0,Large
College of Saint Benedict,Saint Joseph,MN,63835,25954,80,67,0,Small
Concordia College at Moorhead,Moorhead,MN,62321,23189,72,70,0,Small
Creighton University,Omaha,NE,70236,31218,72,51,1,Medium
CUNY Bernard M Baruch College,New York,NY,61489,2264,67,4,1,Large
DePaul University,Chicago,IL,71347,31174,68,55,1,Medium
DeSales University ,Center Valley,PA,51181,29547,61,72,0,Medium
Doane University,Crete,NE,55251,23440,63,92,0,Small
Dominican University ,River Forest,IL,67559,18645,65,70,0,Medium
Drake University,Des Moines,IA,67788,29903,78,53,1,Medium
Drexel University ,Philadelphia,PA,69468,35963,68,59,1,Medium
Duquesne University,Pittsburgh,PA,58059,31383,80,63,1,Medium
Elizabethtown College,Elizabethtown,PA,61588,25069,70,74,0,Small
Elmhurst University,Elmhurst,IL,64665,20100,67,67,0,Medium
Elon University ,Elon,NC,77567,38122,83,31,0,Medium
Fairfield University,Fairfield,CT,76092,36633,80,55,0,Medium
Fordham University,Bronx,NY,82005,38147,79,50,1,Medium
Fort Lewis College ,Durango,CO,46551,16255,47,43,0,Medium
Franklin Pierce University ,Rindge,NH,59619,26722,54,83,0,Small
George Mason University,Fairfax,VA,68611,19551,74,46,0,Large
Georgetown University,Washington,DC,112359,32018,94,26,1,Medium
Gonzaga University ,Spokane,WA,71186,34451,86,45,1,Medium
Gustavus Adolphus College ,St. Peter,MN,66456,24696,78,62,0,Medium
Hamline University,Saint Paul,MN,62067,20474,67,68,1,Small
Illinois State University,Normal,IL,63207,20830,72,59,0,Large
Illinois Wesleyan University,Bloomington,IL,73001,34738,79,69,1,Small
Iona College,New Rochelle,NY,62046,30234,67,63,0,Medium
Iowa State University,Ames,IA,60058,16002,74,50,1,Large
James Madison University,Harrisonburg,VA,64275,22562,83,39,1,Large
